date,state,district,pincode,age_0_5,age_5_17,age_18_greater,total_enrollment,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_,year,month,bio_age_17_plus,child_to_adult_ratio,total_updates,anomaly,total_population,biometric_per_enrollment
2025-11-09,Jharkhand,Dhanbad,828204,2,1,0,3,2,25,11,14,2025,11,14,0.7333333333333333,25,False,27,8.333333333333334
2025-11-09,Jharkhand,Dhanbad,828206,1,0,0,1,1,22,0,2,2025,11,2,0.0,2,False,23,2.0
2025-11-09,Jharkhand,Dhanbad,828305,4,2,0,6,1,8,8,10,2025,11,10,0.7272727272727273,18,False,9,3.0
2025-11-09,Jharkhand,Dumka,814145,5,3,0,8,4,62,16,11,2025,11,11,1.3333333333333333,27,False,66,3.375
2025-11-09,Jharkhand,Dumka,814167,0,1,0,1,0,5,5,4,2025,11,4,1.0,9,False,5,9.0
2025-11-09,Jharkhand,East Singhbhum,832104,4,1,0,5,1,34,31,38,2025,11,38,0.7948717948717948,69,False,35,13.8
2025-11-09,Jharkhand,Giridih,815301,9,1,0,10,6,48,20,23,2025,11,23,0.8333333333333334,43,False,54,4.3
2025-11-09,Jharkhand,Giridih,815314,12,11,0,23,11,58,12,10,2025,11,10,1.0909090909090908,22,False,69,0.9565217391304348
2025-11-09,Jharkhand,Giridih,825322,5,5,0,10,7,52,20,23,2025,11,23,0.8333333333333334,43,False,59,4.3
2025-11-09,Jharkhand,Gumla,835227,2,0,0,2,0,22,15,31,2025,11,31,0.46875,46,False,22,23.0
2025-11-09,Jharkhand,Gumla,835234,0,2,0,2,0,2,1,3,2025,11,3,0.25,4,False,2,2.0
2025-11-09,Jharkhand,Koderma,825132,2,1,0,3,3,27,24,31,2025,11,31,0.75,55,False,30,18.333333333333332
2025-11-09,Jharkhand,Palamu,822123,14,4,3,21,8,112,52,32,2025,11,32,1.5757575757575757,84,False,120,4.0
2025-11-09,Jharkhand,Palamu,822131,3,1,0,4,2,16,7,1,2025,11,1,3.5,8,False,18,2.0
2025-11-09,Jharkhand,Purbi Singhbhum,831016,0,1,0,1,0,2,1,3,2025,11,3,0.25,4,False,2,4.0
2025-11-09,Jharkhand,Ramgarh,829103,1,0,0,1,0,4,5,5,2025,11,5,0.8333333333333334,10,False,4,10.0
2025-11-09,Jharkhand,Ranchi,835204,10,4,0,14,1,69,21,28,2025,11,28,0.7241379310344828,49,False,70,3.5
2025-11-09,Jharkhand,Sahebganj,816120,0,1,0,1,7,101,5,7,2025,11,7,0.625,12,False,108,12.0
2025-11-09,Jharkhand,Seraikela-Kharsawan,832108,3,1,0,4,1,9,1,6,2025,11,6,0.1428571428571428,7,False,10,1.75
2025-11-09,Jharkhand,Seraikela-Kharsawan,833101,3,0,0,3,0,8,1,5,2025,11,5,0.1666666666666666,6,False,8,2.0
2025-11-09,Jharkhand,Seraikela-Kharsawan,833220,2,0,0,2,0,6,4,13,2025,11,13,0.2857142857142857,17,False,6,8.5
2025-11-09,Jharkhand,Simdega,835226,1,0,0,1,2,26,13,34,2025,11,34,0.3714285714285714,47,False,28,47.0
2025-11-09,Jharkhand,West Singhbhum,833213,1,1,0,2,1,5,0,1,2025,11,1,0.0,1,False,6,0.5
2025-11-09,Karnataka,Bagalkot,587118,2,0,0,2,1,5,7,4,2025,11,4,1.4,11,False,6,5.5
2025-11-09,Karnataka,Belagavi,591123,1,0,0,1,1,13,6,1,2025,11,1,3.0,7,False,14,7.0
2025-11-09,Karnataka,Belgaum,591302,3,0,0,3,4,13,8,9,2025,11,9,0.8,17,False,17,5.666666666666667
2025-11-09,Karnataka,Bengaluru,560050,1,0,0,1,1,3,3,6,2025,11,6,0.4285714285714285,9,False,4,9.0
2025-11-09,Karnataka,Bidar,585403,2,0,0,2,6,19,8,24,2025,11,24,0.32,32,False,25,16.0
2025-11-09,Karnataka,Bijapur,586204,0,1,0,1,1,3,5,9,2025,11,9,0.5,14,False,4,14.0
2025-11-09,Karnataka,Chamrajanagar,571443,1,0,0,1,0,3,3,3,2025,11,3,0.75,6,False,3,6.0
2025-11-09,Karnataka,Chitradurga,577598,2,0,0,2,1,10,0,3,2025,11,3,0.0,3,False,11,1.5
2025-11-09,Karnataka,Dakshina Kannada,574239,1,1,0,2,0,13,2,2,2025,11,2,0.6666666666666666,4,False,13,2.0
2025-11-09,Karnataka,Dakshina Kannada,575019,1,0,0,1,3,2,1,2,2025,11,2,0.3333333333333333,3,False,5,3.0
2025-11-09,Karnataka,Dharwad,581103,2,0,0,2,0,2,1,0,2025,11,0,1.0,1,False,2,0.5
2025-11-09,Karnataka,Gadag,582203,1,0,0,1,0,4,0,3,2025,11,3,0.0,3,False,4,3.0
2025-11-09,Karnataka,Haveri,581109,2,0,0,2,1,12,6,5,2025,11,5,1.0,11,False,13,5.5
2025-11-09,Karnataka,Kalaburagi,585105,1,0,0,1,1,6,5,1,2025,11,1,2.5,6,False,7,6.0
2025-11-09,Karnataka,Kolar,563127,1,0,0,1,7,5,1,3,2025,11,3,0.25,4,False,12,4.0
2025-11-09,Karnataka,Kolar,563137,1,0,0,1,1,9,6,3,2025,11,3,1.5,9,False,10,9.0
2025-11-09,Karnataka,Mandya,571434,1,0,0,1,1,7,4,12,2025,11,12,0.3076923076923077,16,False,8,16.0
2025-11-09,Karnataka,Mysore,570007,2,0,0,2,0,4,1,8,2025,11,8,0.1111111111111111,9,False,4,4.5
2025-11-09,Karnataka,Ramanagar,562128,1,0,0,1,0,3,1,2,2025,11,2,0.3333333333333333,3,False,3,3.0
2025-11-09,Karnataka,Udupi,574104,1,0,0,1,0,2,1,4,2025,11,4,0.2,5,False,2,5.0
2025-11-09,Karnataka,Udupi,576225,1,0,0,1,0,4,0,1,2025,11,1,0.0,1,False,4,1.0
2025-11-09,Karnataka,Uttara Kannada,581325,1,0,0,1,0,7,3,1,2025,11,1,1.5,4,False,7,4.0
2025-11-09,Kerala,Alappuzha,688006,2,1,0,3,1,13,4,6,2025,11,6,0.5714285714285714,10,False,14,3.3333333333333335
2025-11-09,Kerala,Alappuzha,688012,2,0,0,2,0,2,1,0,2025,11,0,1.0,1,False,2,0.5
2025-11-09,Kerala,Alappuzha,688505,1,0,0,1,0,2,1,0,2025,11,0,1.0,1,False,2,1.0
2025-11-09,Kerala,Alappuzha,688561,1,1,0,2,0,13,2,7,2025,11,7,0.25,9,False,13,4.5
2025-11-09,Kerala,Alappuzha,689572,2,1,0,3,0,6,2,2,2025,11,2,0.6666666666666666,4,False,6,1.3333333333333333
2025-11-09,Kerala,Ernakulam,682023,0,1,0,1,0,5,0,2,2025,11,2,0.0,2,False,5,2.0
2025-11-09,Kerala,Ernakulam,682040,0,1,0,1,0,4,2,2,2025,11,2,0.6666666666666666,4,False,4,4.0
2025-11-09,Kerala,Ernakulam,682306,0,1,0,1,0,5,1,5,2025,11,5,0.1666666666666666,6,False,5,6.0
2025-11-09,Kerala,Ernakulam,683513,1,0,0,1,1,7,1,3,2025,11,3,0.25,4,False,8,4.0
2025-11-09,Kerala,Ernakulam,683517,1,0,0,1,0,4,7,4,2025,11,4,1.4,11,False,4,11.0
2025-11-09,Kerala,Kannur,670305,1,0,0,1,0,4,3,3,2025,11,3,0.75,6,False,4,6.0
2025-11-09,Kerala,Kannur,670307,4,0,0,4,3,23,7,30,2025,11,30,0.2258064516129032,37,False,26,9.25
2025-11-09,Kerala,Kannur,670591,1,0,0,1,0,6,2,4,2025,11,4,0.4,6,False,6,6.0
2025-11-09,Kerala,Kannur,670703,2,0,0,2,1,7,2,31,2025,11,31,0.0625,33,False,8,16.5
2025-11-09,Kerala,Kannur,670706,1,0,0,1,0,8,0,42,2025,11,42,0.0,42,False,8,42.0
2025-11-09,Kerala,Kottayam,686105,1,1,0,2,0,4,1,3,2025,11,3,0.25,4,False,4,2.0
2025-11-09,Kerala,Kottayam,686573,2,0,0,2,1,3,0,1,2025,11,1,0.0,1,False,4,0.5
2025-11-09,Kerala,Kottayam,686631,0,1,0,1,1,10,2,3,2025,11,3,0.5,5,False,11,5.0
2025-11-09,Kerala,Kozhikode,673005,1,1,0,2,2,8,2,3,2025,11,3,0.5,5,False,10,2.5
2025-11-09,Kerala,Kozhikode,673011,1,0,0,1,0,6,0,1,2025,11,1,0.0,1,False,6,1.0
2025-11-09,Kerala,Kozhikode,673305,1,1,0,2,1,3,1,4,2025,11,4,0.2,5,False,4,2.5
2025-11-09,Kerala,Kozhikode,673315,0,2,0,2,1,9,0,7,2025,11,7,0.0,7,False,10,3.5
2025-11-09,Kerala,Malappuram,673639,8,1,0,9,3,21,20,25,2025,11,25,0.7692307692307693,45,False,24,5.0
2025-11-09,Kerala,Malappuram,676504,2,0,0,2,1,7,2,4,2025,11,4,0.4,6,False,8,3.0
2025-11-09,Kerala,Malappuram,676507,2,0,0,2,1,4,3,8,2025,11,8,0.3333333333333333,11,False,5,5.5
2025-11-09,Kerala,Malappuram,679327,2,1,0,3,1,7,1,0,2025,11,0,1.0,1,False,8,0.3333333333333333
2025-11-09,Kerala,Malappuram,679340,1,0,0,1,0,7,3,2,2025,11,2,1.0,5,False,7,5.0
2025-11-09,Kerala,Malappuram,679579,2,0,0,2,1,8,1,2,2025,11,2,0.3333333333333333,3,False,9,1.5
2025-11-09,Kerala,Palakkad,678507,1,0,0,1,0,3,5,4,2025,11,4,1.0,9,False,3,9.0
2025-11-09,Kerala,Palakkad,678686,1,0,0,1,0,4,2,1,2025,11,1,1.0,3,False,4,3.0
2025-11-09,Kerala,Palakkad,679303,1,1,0,2,2,7,6,8,2025,11,8,0.6666666666666666,14,False,9,7.0
2025-11-09,Kerala,Thiruvananthapuram,695013,2,0,0,2,0,10,3,14,2025,11,14,0.2,17,False,10,8.5
2025-11-09,Kerala,Thiruvananthapuram,695015,1,0,0,1,1,8,1,3,2025,11,3,0.25,4,False,9,4.0
2025-11-09,Kerala,Thiruvananthapuram,695025,2,0,0,2,0,3,0,2,2025,11,2,0.0,2,False,3,1.0
2025-11-09,Kerala,Thiruvananthapuram,695301,0,1,0,1,0,7,0,3,2025,11,3,0.0,3,False,7,3.0
2025-11-09,Kerala,Thiruvananthapuram,695309,1,0,0,1,0,2,1,1,2025,11,1,0.5,2,False,2,2.0
2025-11-09,Kerala,Thiruvananthapuram,695311,1,0,0,1,1,11,0,3,2025,11,3,0.0,3,False,12,3.0
2025-11-09,Kerala,Thiruvananthapuram,695523,1,0,0,1,0,4,2,3,2025,11,3,0.5,5,False,4,5.0
2025-11-09,Kerala,Thiruvananthapuram,695604,1,0,0,1,0,5,0,2,2025,11,2,0.0,2,False,5,2.0
2025-11-09,Kerala,Thrissur,680502,2,0,0,2,0,1,0,2,2025,11,2,0.0,2,False,1,1.0
2025-11-09,Kerala,Thrissur,680613,1,0,0,1,1,0,1,1,2025,11,1,0.5,2,False,1,2.0
2025-11-09,Kerala,Thrissur,680652,1,0,0,1,0,8,1,6,2025,11,6,0.1428571428571428,7,False,8,7.0
2025-11-09,Kerala,Thrissur,680663,1,0,0,1,0,2,2,1,2025,11,1,1.0,3,False,2,3.0
2025-11-09,Kerala,Thrissur,680671,1,0,0,1,0,2,2,8,2025,11,8,0.2222222222222222,10,False,2,10.0
2025-11-09,Kerala,Thrissur,680683,3,0,0,3,0,9,3,18,2025,11,18,0.1578947368421052,21,False,9,7.0
2025-11-09,Kerala,Thrissur,680684,2,0,0,2,2,10,1,11,2025,11,11,0.0833333333333333,12,False,12,6.0
2025-11-09,Kerala,Thrissur,680741,3,1,0,4,1,5,3,9,2025,11,9,0.3,12,False,6,3.0
2025-11-09,Kerala,Wayanad,673121,3,0,0,3,2,14,4,11,2025,11,11,0.3333333333333333,15,False,16,5.0
2025-11-09,Madhya Pradesh,Agar Malwa,465449,7,0,0,7,1,18,1,18,2025,11,18,0.0526315789473684,19,False,19,2.7142857142857144
2025-11-09,Madhya Pradesh,Alirajpur,457882,4,7,0,11,5,16,27,40,2025,11,40,0.6585365853658537,67,False,21,6.090909090909091
2025-11-09,Madhya Pradesh,Balaghat,481051,8,0,0,8,1,22,12,18,2025,11,18,0.631578947368421,30,False,23,3.75
2025-11-09,Madhya Pradesh,Balaghat,481117,3,0,0,3,1,3,2,5,2025,11,5,0.3333333333333333,7,False,4,2.3333333333333335
2025-11-09,Madhya Pradesh,Balaghat,481335,4,0,0,4,2,8,6,6,2025,11,6,0.8571428571428571,12,False,10,3.0
2025-11-09,Madhya Pradesh,Betul,460330,20,0,0,20,16,39,37,63,2025,11,63,0.578125,100,False,55,5.0
2025-11-09,Madhya Pradesh,Bhind,477105,1,2,0,3,4,10,16,13,2025,11,13,1.1428571428571428,29,False,14,9.666666666666666
2025-11-09,Madhya Pradesh,Bhind,477331,1,1,0,2,6,10,21,14,2025,11,14,1.4,35,False,16,17.5
2025-11-09,Madhya Pradesh,Bhopal,462001,25,3,0,28,7,80,64,123,2025,11,123,0.5161290322580645,187,False,87,6.678571428571429
2025-11-09,Madhya Pradesh,Bhopal,462036,2,1,0,3,1,4,12,17,2025,11,17,0.6666666666666666,29,False,5,9.666666666666666
2025-11-09,Madhya Pradesh,Bhopal,462038,11,1,0,12,1,36,26,58,2025,11,58,0.4406779661016949,84,False,37,7.0
2025-11-09,Madhya Pradesh,Bhopal,462041,4,2,0,6,2,13,5,12,2025,11,12,0.3846153846153846,17,False,15,2.8333333333333335
2025-11-09,Madhya Pradesh,Chhatarpur,471105,2,6,0,8,5,15,27,22,2025,11,22,1.173913043478261,49,False,20,6.125
2025-11-09,Madhya Pradesh,Chhatarpur,471405,10,6,0,16,2,28,23,28,2025,11,28,0.7931034482758621,51,False,30,3.1875
2025-11-09,Madhya Pradesh,Datia,475682,3,1,0,4,3,21,9,9,2025,11,9,0.9,18,False,24,4.5
2025-11-09,Madhya Pradesh,Guna,473115,4,2,0,6,5,16,27,44,2025,11,44,0.6,71,False,21,11.833333333333334
2025-11-09,Madhya Pradesh,Gwalior,474012,5,0,0,5,7,26,21,20,2025,11,20,1.0,41,False,33,8.2
2025-11-09,Madhya Pradesh,Gwalior,475110,21,6,0,27,15,84,31,38,2025,11,38,0.7948717948717948,69,False,99,2.5555555555555554
2025-11-09,Madhya Pradesh,Hoshangabad,461001,11,1,0,12,10,23,22,35,2025,11,35,0.6111111111111112,57,False,33,4.75
2025-11-09,Madhya Pradesh,Indore,452010,15,4,0,19,6,66,44,56,2025,11,56,0.7719298245614035,100,False,72,5.2631578947368425
2025-11-09,Madhya Pradesh,Indore,453001,5,0,0,5,10,36,19,18,2025,11,18,1.0,37,False,46,7.4
2025-11-09,Madhya Pradesh,Indore,453441,26,2,0,28,12,45,34,41,2025,11,41,0.8095238095238095,75,False,57,2.6785714285714284
2025-11-09,Madhya Pradesh,Jabalpur,482020,2,0,0,2,0,4,2,4,2025,11,4,0.4,6,False,4,3.0
2025-11-09,Madhya Pradesh,Jhabua,457661,19,13,0,32,26,135,130,100,2025,11,100,1.2871287128712872,230,False,161,7.1875
2025-11-09,Madhya Pradesh,Katni,483770,12,2,0,14,5,36,31,18,2025,11,18,1.631578947368421,49,False,41,3.5
2025-11-09,Madhya Pradesh,Khandwa,450117,6,0,0,6,3,18,47,28,2025,11,28,1.6206896551724137,75,False,21,12.5
2025-11-09,Madhya Pradesh,Khandwa,450337,0,2,0,2,2,1,10,5,2025,11,5,1.6666666666666667,15,False,3,7.5
2025-11-09,Madhya Pradesh,Mandla,481665,3,2,0,5,2,11,6,4,2025,11,4,1.2,10,False,13,2.0
2025-11-09,Madhya Pradesh,Mandla,481771,1,0,0,1,5,10,6,9,2025,11,9,0.6,15,False,15,15.0
2025-11-09,Madhya Pradesh,Mandsaur,458558,5,0,0,5,4,10,12,16,2025,11,16,0.7058823529411765,28,False,14,5.6
